year,month,day,hour,minute,sec,milsec,kp,na
2004,2,4,12,0,0,0,3-,7
2004,2,4,15,0,0,0,3-,7
2004,2,4,18,0,0,0,3-,7
2004,2,4,21,0,0,0,3+,9
2004,2,5,0,0,0,0,3+,9
2004,2,5,3,0,0,0,3,8
2004,2,5,6,0,0,0,3,8
2004,2,5,9,0,0,0,3,8
2004,2,5,12,0,0,0,2-,4
2004,2,5,15,0,0,0,2,5
2004,2,5,18,0,0,0,2+,6
2004,2,5,21,0,0,0,3-,7
2004,2,6,0,0,0,0,2-,4
2004,2,6,3,0,0,0,4,11
2004,2,6,6,0,0,0,5-,13
2004,2,6,9,0,0,0,4+,12
2004,2,6,12,0,0,0,3,8
2004,2,6,15,0,0,0,4-,10
2004,2,6,18,0,0,0,4-,10
2004,2,6,21,0,0,0,2,5
2004,2,7,0,0,0,0,2,5
2004,2,7,3,0,0,0,2,5
2004,2,7,6,0,0,0,3-,7
2004,2,7,9,0,0,0,2,5
2004,2,7,12,0,0,0,2+,6
2004,2,7,15,0,0,0,1-,1
2004,2,7,18,0,0,0,2-,4
2004,2,7,21,0,0,0,1+,3
2004,2,8,0,0,0,0,0,-1
2004,2,8,3,0,0,0,0+,0
2004,2,8,6,0,0,0,1-,1
2004,2,8,9,0,0,0,1-,1
2004,2,8,12,0,0,0,1-,1
2004,2,8,15,0,0,0,1,2
2004,2,8,18,0,0,0,1+,3
2004,2,8,21,0,0,0,3-,7
2004,2,9,0,0,0,0,1+,3
2004,2,9,3,0,0,0,0,-1
2004,2,9,6,0,0,0,2-,4
2004,2,9,9,0,0,0,1,2
2004,2,9,12,0,0,0,3-,7
2004,2,9,15,0,0,0,2,5
2004,2,9,18,0,0,0,3-,7
2004,2,9,21,0,0,0,2,5
2004,2,10,0,0,0,0,2,5
2004,2,10,3,0,0,0,1+,3
2004,2,10,6,0,0,0,1+,3
2004,2,10,9,0,0,0,2,5
2004,2,10,12,0,0,0,2-,4
2004,2,10,15,0,0,0,2+,6
2004,2,10,18,0,0,0,1-,1
2004,2,10,21,0,0,0,2-,4
2004,2,11,0,0,0,0,2,5
2004,2,11,3,0,0,0,1-,1
2004,2,11,6,0,0,0,1,2
2004,2,11,9,0,0,0,3,8
2004,2,11,12,0,0,0,5-,13
2004,2,11,15,0,0,0,6+,18
2004,2,11,18,0,0,0,5,14
2004,2,11,21,0,0,0,3-,7
2004,2,12,0,0,0,0,3+,9
2004,2,12,3,0,0,0,4,11
2004,2,12,6,0,0,0,5,14
2004,2,12,9,0,0,0,4+,12
2004,2,12,12,0,0,0,4-,10
2004,2,12,15,0,0,0,4+,12
2004,2,12,18,0,0,0,5-,13
2004,2,12,21,0,0,0,3+,9
2004,2,13,0,0,0,0,4+,12
2004,2,13,3,0,0,0,4+,12
2004,2,13,6,0,0,0,3+,9
2004,2,13,9,0,0,0,4-,10
2004,2,13,12,0,0,0,4-,10
2004,2,13,15,0,0,0,4-,10
2004,2,13,18,0,0,0,4-,10
2004,2,13,21,0,0,0,4,11
2004,2,14,0,0,0,0,4-,10
2004,2,14,3,0,0,0,3,8
2004,2,14,6,0,0,0,3-,7
2004,2,14,9,0,0,0,3+,9
2004,2,14,12,0,0,0,4-,10
2004,2,14,15,0,0,0,4,11
2004,2,14,18,0,0,0,4-,10
