year,month,day,hour,minute,second,microsecond,latitude,longitude,magnitude,depth
2004,1,25,15,12,23,0,49.1,-128.06,5.4,10.0
2004,1,26,8,11,5,940000,-22.117,169.533,4.9,10.0
2004,1,26,10,27,7,650000,51.135,178.078,5.6,36.7
2004,1,27,17,2,45,780000,44.549,148.976,5.2,15.6
2004,1,27,18,32,20,400000,46.694,153.68,4.8,32.1
2004,1,27,23,2,30,670000,-30.307,-68.326,4.9,35.8
2004,1,28,1,16,17,690000,17.363,94.333,4.9,33.9
2004,1,28,7,41,4,570000,-4.913,153.584,5.1,38.0
2004,1,28,9,6,48,990000,26.878,57.513,5.2,25.7
2004,1,28,13,4,45,870000,-31.595,-178.602,4.9,10.0
2004,1,28,19,5,39,380000,-1.682,138.984,5.7,15.1
2004,1,28,22,15,30,700000,-3.12,127.4,6.7,17.4
2004,1,29,1,25,15,680000,-35.418,-104.67,5.5,10.0
2004,1,29,3,52,52,300000,-50.206,-114.78,6.1,10.0
2004,1,29,4,47,13,460000,38.794,140.837,4.9,10.0
2004,1,29,20,10,41,380000,-20.815,-174.163,5.7,12.0
2004,1,29,21,29,43,910000,-55.57,-26.092,4.9,32.3
2004,1,30,15,53,29,940000,27.74,142.854,4.8,14.7
2004,1,30,17,51,44,820000,44.732,150.057,5.3,30.6
2004,1,30,21,52,7,580000,-20.824,-174.141,4.9,15.0
2004,1,31,7,32,59,60000,-13.525,-111.396,5.5,10.0
2004,1,31,11,30,26,90000,-60.379,-44.467,4.8,10.0
2004,1,31,13,32,1,480000,53.718,-162.952,5.0,33.1
2004,1,31,14,49,6,470000,30.052,142.434,5.5,10.0
2004,1,31,14,51,34,620000,30.294,142.955,4.8,10.0
2004,1,31,15,0,33,810000,30.079,142.524,4.8,10.0
2004,2,1,13,49,48,710000,-59.475,-25.079,4.9,2.5
2004,2,1,20,11,45,600000,15.062,-95.198,4.9,5.4
2004,2,2,9,36,36,40000,0.859,-85.206,5.1,10.0
2004,2,3,4,21,12,530000,-18.262,-70.894,5.0,24.9
2004,2,4,3,37,58,20000,-12.826,166.572,5.2,19.6
2004,2,4,11,59,47,690000,8.358,-82.877,6.1,29.2
2004,2,4,12,40,42,780000,8.422,-83.056,4.9,30.0
2004,2,5,21,5,2,840000,-3.615,135.538,7.0,16.6
2004,2,5,21,24,18,740000,-3.658,135.364,5.9,37.1
2004,2,5,21,30,19,730000,-3.536,135.468,4.8,10.0
2004,2,5,21,35,26,70000,-3.746,135.36,4.8,21.2
2004,2,5,21,35,35,550000,0.957,30.451,4.8,10.0
2004,2,5,21,37,15,500000,-3.485,135.286,5.0,10.0
2004,2,5,21,41,38,920000,-3.609,135.543,4.8,10.0
2004,2,5,21,54,42,820000,-3.753,135.523,5.1,10.0
2004,2,5,21,58,6,890000,-3.559,135.475,5.0,14.9
2004,2,5,22,34,57,60000,-3.624,135.708,5.0,19.0
2004,2,6,0,47,9,720000,-1.386,136.779,5.6,3.5
2004,2,6,6,34,27,290000,37.349,79.394,4.8,21.2
2004,2,6,15,59,50,750000,-3.576,135.583,5.1,26.9
2004,2,6,18,27,25,780000,-3.873,135.643,4.8,10.0
2004,2,6,19,5,49,400000,-9.341,123.905,4.8,10.0
2004,2,6,19,11,32,830000,18.229,-102.77,5.1,28.1
2004,2,6,21,7,36,580000,-7.881,103.996,4.9,40.0
2004,2,6,21,29,21,390000,-4.518,137.355,4.9,10.0
2004,2,7,2,42,35,210000,-4.003,135.023,7.3,10.0
2004,2,7,3,34,43,780000,-4.136,134.646,4.8,10.0
2004,2,7,4,25,3,570000,-4.094,134.401,5.2,27.6
2004,2,7,9,47,12,210000,-30.735,-177.291,4.8,6.5
2004,2,7,14,36,39,200000,-4.075,135.025,4.8,10.0
2004,2,7,21,17,24,200000,36.04,26.91,5.1,25.0
2004,2,7,21,27,37,670000,-4.071,133.958,5.6,10.0
2004,2,7,21,45,48,930000,-3.351,135.77,4.8,10.0
2004,2,7,22,28,43,0,-3.493,135.496,4.8,10.0
2004,2,7,23,40,58,870000,13.435,-44.827,5.2,10.0
2004,2,8,8,58,51,800000,-3.665,135.339,6.7,25.7
2004,2,8,9,5,40,730000,-3.634,135.348,5.4,10.0
2004,2,8,11,37,38,250000,-3.367,68.259,5.5,12.5
2004,2,9,0,1,46,0,23.753,-108.784,5.1,10.0
2004,2,9,0,4,8,520000,23.68,-108.774,5.2,10.0
2004,2,9,1,24,40,630000,24.897,-112.393,5.5,10.0
2004,2,9,3,48,12,510000,36.006,22.452,4.9,16.0
2004,2,9,9,3,47,430000,24.814,-112.51,5.4,10.0
2004,2,9,23,10,41,270000,-58.609,-24.574,4.8,13.6
2004,2,10,0,45,34,520000,18.909,-46.208,4.9,10.0
2004,2,10,3,25,13,490000,-3.688,135.133,5.2,16.0
